Nom,Arborescence,Couleurs disponibles,Prix,Description,Volume,Dimensions
GCv 4060 ProfiLine,Appareils professionnels/Gastronomie/Combinés pour la gastronomie/GCv 4060,None,€ 2.400,Le modèle Liebherr GCv 4060 est un combiné réfrigérateur/congélateur gastronorme 2/3 tout en acier inoxydable. La température de la partie réfrigérateur est à réglage digital allant de +1 °C à + 15 °C et le ventilateur est commutable séparément. La partie congélateur statique complètement séparée a une plage de température de -14 °C à -28 °C.,361 l,"H 200,3 x L 59,7 x D 66,5 cm"
LKPv 1420 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 1420,None,€ 8.000,"Le modèle Liebherr LKPv 1420 offre une capacité de réfrigération de plus de 1400 litres pour un usage médical et de laboratoire. La plage de température se situe entre -2 °C et +16 °C, l'affichage digital est précis au 0,1 °C près. Plusieurs tiroirs coulissants AluCool (accessoire) peuvent être installés.",1366 l,H 216 x L 143 x D 83 cm
LKPv 1423 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 1423,None,€ 9.000,"Le modèle Liebherr LKPv 1423 offre une capacité de réfrigération de plus de 1400 litres pour un usage médical et de laboratoire. La plage de température s'étend de 0 °C à +16 °C, l'affichage digital est précis aà 0,1 °C près. Les portes sont pourvues d'un verre isolant. L'éclairage de plafond LED est commutable séparément.",1397 l,H 216 x L 143 x D 83 cm
LKPv 6520 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 6520,None,€ 5.500,"Le modèle Liebherr LKPv 6520 offre une capacité de réfrigération de plus de 600 litres pour un usage médical et de laboratoire. La plage de température se situe entre -2 °C et +16 °C, l'affichage digital est précis au 0,1 °C près. Plusieurs tiroirs coulissants AluCool (accessoire) peuvent être installés.",602 l,H 216 x L 70 x D 83 cm
LKPv 6523 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 6523,None,€ 6.000,"Le modèle Liebherr LKPv 6523 offre une capacité de réfrigération de plus de 600 litres pour un usage médical et de laboratoire. La plage de température s'étend de 0 °C à +16 °C, L'affichage digital est précis au 0,1 °C. La porte est pourvue d'un verre isolant, l'éclairage de plafond LED est commutable séparément.",617 l,H 216 x L 70 x D 83 cm
LKPv 6527 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 6527,None,€ 6.000,"Le Liebherr LKPv 6527 offre 464 litres d'espace de refroidissement net accessibles via deux portes séparées. En plaçant les produits fréquemment utilisés en haut et les produits moins fréquemment requis au bas, une précieuse économie d'énergie est réalisée. Si vous le souhaitez, vous pouvez accrocher un certain nombre de tiroirs AluCool (accessoire).",598 l,H 216 x L 70 x D 83 cm
LKPv 8420 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKPv 8420,None,€ 6.700,"Le modèle Liebherr LKPv 8420 offre, Grâce à une exécution extra large et profonde, une capacité de réfrigération de plus de 850 litres pour un usage médical et de laboratoire. La plage de température se situe entre -2 °C et +16 °C, l'affichage digital est précis au 0,1 °C près. Des tiroirs coulissants AluCool (accessoire) peuvent être installés.",855 l,H 216 x L 79 x D 98 cm
LKUv 1610 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKUv 1610,None,€ 1.750,"Le modèle Liebherr LKUv 1610 Mediline offre une capacité de réfrigération de plus de 140 litres, avec une plage de température de 3 °C à + 16 °C. La porte à fermeture automatique et les 3 grilles de support réglables sont d'un usage pratique. L'affichage digital de la température est précis au 0,1 °C près.",142 l,"H 82 x L 60,1 x D 61,8 cm"
LKUv 1613 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKUv 1613,None,€ 1.950,"Le modèle Liebherr LKUv 1613 Mediline offre une capacité de réfrigération de 140 litres dans une plage de température de +3 °C à + 16 °C. La porte à fermeture automatique est équipée d'un verre isolant, l'éclairage plafond LED est commutable séparément.",152 l,"H 82 x L 60,1 x D 61,8 cm"
LKv 3913 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKv 3913,None,€ 2.650,"Le modèle Liebherr LKUv 3913 Mediline offre une capacité de réfrigération de plus de 360 litres, avec plage de température allant de +3 °C à +16 °C. La porte à fermeture automatique est pourvue d'un verre isolant, l'éclairage de plafond LED est commutable séparément.",386 l,"H 184 x L 60,1 x D 61,8 cm"
LKv 5710 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/LKv 5710,None,€ 3.000,"Le Liebherr LKv 5710 Mediline offre avec 583 litres un énorme espace de refroidissement avec une plage de température de +3 °C à +16 °C. La porte à fermeture automatique et les cinq grilles réglables sont pratiques à utiliser. La température est affichée de façon digitale et peut être ajustée avec précision à 0,1 °C près.",583 l,"H 184,4 x L 75,1 x D 75 cm"
SRFvg 3501-20 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 3501-20,None,€ 2.200,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED au plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",344 l,"H 168,4 x L 59,7 x D 65,4 cm"
SRFvg 3511 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 3511,None,€ 2.400,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu de ce réfrigérateur à porte vitrée garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED du plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",367 l,"H 168,4 x L 59,7 x D 65,4 cm"
SRFvg 4001 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 4001,None,€ 2.400,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED au plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",394 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFvg 4011 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 4011,None,€ 2.650,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu de ce réfrigérateur à porte vitrée garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED du plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",420 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFvg 5501 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 5501,None,€ 3.000,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED au plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",558 l,"H 168,4 x L 74,7 x D 76,9 cm"
SRFvg 5511 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvg 5511,None,€ 3.200,"L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu de ce réfrigérateur à porte vitrée garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles, et l'éclairage LED du plafond offre une visibilité optimale, ce qui permet de refermer la porte rapidement. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",588 l,"H 168,4 x L 74,7 x D 76,9 cm"
SRFvh 4001 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvh 4001,None,€ 3.000,"L'écran couleur de 2,2 pouces peut également être utilisé avec des gants. En cas d'alarme de température, le système SmartLock verrouille automatiquement la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Les données enregistrées peuvent être lues via une interface USB. Conforme DIN 13277.",394 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFvh 4011 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvh 4011,None,€ 3.200,"L'écran couleur de 2,2 pouces peut également être utilisé avec des gants. En cas d'alarme de température, le système SmartLock verrouille automatiquement la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Les données enregistrées peuvent être lues via une interface USB. Conforme DIN 13277.",420 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFvh 5501 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvh 5501,None,€ 3.400,"L'écran couleur de 2,2 pouces peut également être utilisé avec des gants. En cas d'alarme de température, le système SmartLock verrouille automatiquement la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Les données enregistrées peuvent être lues via une interface USB. Conforme DIN 13277.",558 l,"H 179,3 x L 74,7 x D 76,9 cm"
SRFvh 5511 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire/SRFvh 5511,None,€ 3.600,"L'écran couleur de 2,2 pouces peut également être utilisé avec des gants. En cas d'alarme de température, le système SmartLock verrouille automatiquement la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Les données enregistrées peuvent être lues via une interface USB. Conforme DIN 13277.",588 l,"H 179,3 x L 74,7 x D 76,9 cm"
LKexv 1800 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/LKexv 1800,None,€ 1.600,Le modèle Liebherr LKexv 1800 a été conçu pour conserver les matières facilement inflammables en vertu des dispositions ATEX 114. Ce réfrigérateur est équipé de tablettes en verre et a une capacité de réfrigération de 180 litres dans une plage de température de +1 °C à + 15 °C.,180 l,H 86 x L 60 x D 60 cm
LKexv 2600 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/LKexv 2600,None,€ 1.700,Le modèle Liebherr LKexv 2600 a été conçu pour conserver les matières facilement inflammables en vertu des dispositions ATEX 114. Ce réfrigérateur est équipé de tablettes en verre et a une capacité de réfrigération de 240 litres dans une plage de température de +1 °C à + 15 °C.,240 l,H 125 x L 60 x D 61 cm
LKexv 3600 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/LKexv 3600,None,€ 1.900,Le modèle Liebherr LKexv 3600 a été conçu pour conserver les matières facilement inflammables en vertu des dispositions ATEX 114. Ce réfrigérateur est équipé de tablettes en verre et a une capacité de réfrigération de 333 litres dans une plage de température de +1 °C à + 15 °C.,333 l,"H 164,1 x L 60 x D 61 cm"
LKUexv 1610 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/LKUexv 1610,None,€ 1.850,"Le modèle Liebherr LKUexv 1610 avec cuve intérieure antidéflagrante offre une capacité de réfrigération de plus de 140 litres, avec une plage de température de +3 °C à +16 °C. Les trois clayettes en verre réglables sont d'un usage pratique. L'affichage digital de la température est précis au 0,1 °C près.",141 l,"H 82 x L 60,1 x D 61,8 cm"
SRFfg 3501 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/SRFfg 3501,None,€ 2.400,"Ce réfrigérateur convient pour le stockage en toute sécurité de substances hautement inflammables et sensibles aux explosions. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Des fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",344 l,"H 168,4 x L 59,7 x D 65,4 cm"
SRFfg 4001 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/SRFfg 4001,None,€ 2.500,"Ce réfrigérateur convient pour le stockage en toute sécurité de substances hautement inflammables et sensibles aux explosions. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Des fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",394 l,"H 188,4 x L 59,7 x D 65,4 cm"
SRFfg 5501 Performance,Appareils professionnels/Laboratoire/Réfrigérateurs de laboratoire antidéflagrants/SRFfg 5501,None,€ 2.800,"Ce réfrigérateur convient pour le stockage en toute sécurité de substances hautement inflammables et sensibles aux explosions. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Des fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. En cas de dysfonctionnement, la fonction SafetyDevice +2 °C empêche les produits stockés de geler.",558 l,"H 168,4 x L 74,7 x D 76,9 cm"
HMFvh 4001 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/HMFvh 4001,None,€ 3.100,,394 l,"H 188,4 x L 59,7 x D 65,4 cm"
HMFvh 4001/H63 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/HMFvh 4001/H63,None,€ 4.400,"Ce réfrigérateur avec tiroirs coulissants en aluminium pour le stockage de médicaments (DIN 13277) est doté d'un écran couleur de 2,2 pouces qui peut également être utilisé avec des gants. En cas d'alarme de température, SmartLock verrouille la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans.",394 l,"H 188,4 x L 59,7 x D 65,4 cm"
HMFvh 4011 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/HMFvh 4011,None,€ 3.500,,420 l,"H 188,4 x L 59,7 x D 65,4 cm"
HMFvh 4011/H63 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/HMFvh 4011/H63,None,€ 4.800,"Ce réfrigérateur avec tiroirs coulissants en aluminium pour le stockage de médicaments (DIN 13277) est doté d'un écran couleur de 2,2 pouces qui peut également être utilisé avec des gants. En cas d'alarme de température, SmartLock verrouille la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans.",420 l,"H 188,4 x L 59,7 x D 65,4 cm"
HMFvh 5501 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/HMFvh 5501,None,€ 3.600,,558 l,"H 179,3 x L 74,7 x D 76,9 cm"
HMFvh 5501.H63 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/HMFvh 5501.H63,None,€ 5.000,"Ce réfrigérateur avec tiroirs coulissants en aluminium pour le stockage de médicaments (DIN 13277) est doté d'un écran couleur de 2,2 pouces qui peut également être utilisé avec des gants. En cas d'alarme de température, SmartLock verrouille la porte, empêchant ainsi les produits dont la chaîne du froid est interrompue de circuler accidentellement. Les personnes autorisées peuvent à nouveau déverrouiller la serrure. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans.",558 l,"H 179,3 x L 74,7 x D 76,9 cm"
HMFvh 5511 Perfection,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/HMFvh 5511,"Blanc, Blanc",€ 3.800,,588 l,"H 179,3 x L 74,7 x D 76,9 cm"
MKUv 1610 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/MKUv 1610,None,€ 2.200,"Le réfrigérateur médical Liebherr MKUv 1610 offre une capacité de réfrigération de plus de 140 litres, avec une plage de température de +5°C ( ± 3K). La porte à fermeture automatique et les 3 grilles de support réglables sont d'un usage pratique. Quatre tiroirs AluCool (accessoire) avec compartiments de rangement peuvent au maximum être installés.",142 l,"H 82 x L 60,1 x D 61,8 cm"
MKUv 1610/H63 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/MKUv 1610/H63,None,€ 3.100,"Le réfrigérateur médical Liebherr MKUv 1610 offre une capacité de réfrigération de plus de 140 litres, avec une plage de température de +5°C ( ± 3K). La porte à fermeture automatique et 3 tiroirs AluCool avec compartiments de rangement sont d'un usage pratique.",142 l,"H 82 x L 60,1 x D 61,8 cm"
MKUv 1613 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/MKUv 1613,None,€ 2.500,Le réfrigérateur médical Liebherr MKUv 1613 offre une capacité de réfrigération avec une plage de température de +5°C ( ± 3K). La porte à fermeture automatique est pourvue d'un verre isolant et l'éclairage de plafond LED est commutable séparément. Des tiroirs AluCool (accessoire) peuvent être installés.,152 l,"H 82 x L 60,1 x D 61,8 cm"
MKUv 1613/H63 MediLine,Appareils professionnels/Laboratoire/Réfrigérateurs pour produits pharmaceutiques/MKUv 1613/H63,None,€ 3.300,Le réfrigérateur médical Liebherr MKUv 1613 offre une capacité de réfrigération avec une plage de température de +5°C ( ± 3K). La porte à fermeture automatique est pourvue d'un verre isolant et l'éclairage de plafond LED est commutable séparément. Le modèle est livré en standard avec 3 tiroirs AluCool avec compartiment diviseur pratique.,152 l,"H 82 x L 60,1 x D 61,8 cm"
LCexv 4010 MediLine,Appareils professionnels/Laboratoire/Combinés de laboratoire/LCexv 4010,None,€ 3.300,"Le modèle Liebherr LCexv 4010 est antidéflagrant (zone 2) et combine la réfrigération et la congélation en un appareil compact, avec réglage complètement distinct. Diverses alarmes et des contacts libres de potentiel pour raccordement à un système d'alarme central sont disponibles.",361 l,"H 200,3 x L 60,1 x D 61,8 cm"
LCv 4010 MediLine,Appareils professionnels/Laboratoire/Combinés de laboratoire/LCv 4010,None,€ 3.200,"Le modèle Liebherr LCv 4010 MediLine combine la réfrigération et la congélation en un appareil compact. Leur commande est tout à fait distincte et la température peut être réglée avec une précision de 0,1 °C. Diverses alarmes et des raccordements à un système central de connexion et d'alarme sont disponibles.",361 l,"H 200,3 x L 60,1 x D 61,8 cm"
LGPv 1420 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGPv 1420,None,€ 8.500,"Le modèle Liebherr LGPv 1420 offre une capacité de congélation de plus de 1400 litres pour un usage médical et de laboratoire. La plage de température se situe entre -10 °C et -26 °C, l'affichage digital est précis au 0,1 °C près. L'appareil dispose de différentes alarmes et la date, l'heure et la température sont enregistrées toutes les 4 minutes.",1366 l,H 216 x L 143 x D 83 cm
LGPv 6520 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGPv 6520,None,€ 6.400,"Le modèle Liebherr LGPv 6520 offre une capacité de congélation de plus de 600 litres pour un usage médical et de laboratoire. La plage de température se situe entre -10 °C et -35 °C, l'affichage digital est précis au 0,1 °C près. L'appareil dispose de différentes alarmes et la date, l'heure et la température sont enregistrées toutes les 4 minutes.",602 l,H 216 x L 70 x D 83 cm
LGPv 6527 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGPv 6527,None,€ 6.800,"Le Liebherr LGPv 6527 offre 464 litres d'espace de congélation net accessible via deux portes séparées. En plaçant les produits fréquemment utilisés en haut et les produits moins fréquemment requis en bas de l'appareil, une précieuse économie d'énergie est réalisée. L'armoire dispose également du dégivrage automatique et d'un système d'alarme complet.",598 l,H 216 x L 70 x D 83 cm
LGPv 8420 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGPv 8420,None,€ 7.300,"Le modèle Liebherr LGPv 8420 offre une grande capacité de congélation de 850 litres pour un usage médical et de laboratoire. La plage de température est réglable entre -10 °C et -35 °C, l'affichage digital est sur 0,1 °C précis. L'équipement dispose de différentes alarmes et la date, l'heure et la température sont enregistrées toutes les 4 minutes.",855 l,H 216 x L 79 x D 98 cm
LGUex 1500 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGUex 1500,None,€ 1.800,"Le modèle Liebherr LGUex 1500 avec cuve intérieure antidéflagrante offre une capacité de congélation de 139 litres, avec une plage de température de -9 °C à -26 °C. Exécution avec double alarme et contact libre de potentiel, les températures les plus élevées et les plus basses sont à lire sur l'affichage pendant un maximum de 40 jours.",139 l,"H 82 x L 60,1 x D 61,8 cm"
LGv 5010 MediLine,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/LGv 5010,None,€ 3.500,"Le Liebherr LGv 5010 offre plus de 337 litres d'espace de congélation pour un usage médical et de laboratoire. La plage de température s'étend de -9 °C à -35 °C, l'affichage digital est précis à 0,1 °C près. L'armoire dispose de divers systèmes d'alarme et d'un système de dégivrage automatique (NoFrost).",478 l,"H 184,4 x L 75,1 x D 75 cm"
SFFfg 4001 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFfg 4001,None,€ 2.600,,316 l,"H 188,4 x L 59,7 x D 65,4 cm"
SFFfg 4001/740 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFfg 4001/740,None,€ 3.000,"Ce congélateur à tiroirs ergonomique convient au stockage de substances inflammables dans des récipients fermés et produit moins de givre grâce au système SmartFrost, ce qui facilite le dégivrage et le rend moins fréquent. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Des fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours.",316 l,"H 188,4 x L 59,7 x D 65,4 cm"
SFFfg 5501 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFfg 5501,None,€ 3.000,"Adapté au stockage de substances inflammables dans des récipients fermés, ce congélateur peu énergivore produit moins de givre grâce au système SmartFrost, ce qui facilite les dégivrages et les rend moins fréquents. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours.",499 l,"H 168,4 x L 74,7 x D 76,9 cm"
SFFfg 5501/740 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFfg 5501/740,None,€ 3.600,,499 l,"H 168,4 x L 74,7 x D 76,9 cm"
SFFsg 4001 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFsg 4001,None,€ 2.500,,316 l,"H 188,4 x L 59,7 x D 65,4 cm"
SFFsg 4001/740 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFsg 4001/740,None,€ 2.900,"Ce congélateur à tiroirs ergonomique produit moins de givre grâce au système SmartFrost, ce qui facilite les dégivrages et les rend moins fréquents. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. L'éclairage LED au plafond permet de toujours bien voir les substances stockées.",316 l,"H 188,4 x L 59,7 x D 65,4 cm"
SFFsg 5501 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFsg 5501,None,€ 3.000,"Ce congélateur peu énergivore produit moins de givre grâce au système SmartFrost, ce qui facilite les dégivrages et les rend moins fréquents. L'intérieur facile à nettoyer, la poignée antimicrobienne avec mécanisme d'ouverture et la navigation intuitive dans le menu garantissent une utilisation confortable. Les fluctuations de température minimales garantissent la qualité des substances sensibles. Les températures min/max sont enregistrées et peuvent être consultées pendant 42 jours. L'éclairage LED au plafond permet de toujours bien voir les substances stockées.",499 l,"H 168,4 x L 74,7 x D 76,9 cm"
SFFsg 5501/740 Performance,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFsg 5501/740,None,€ 3.500,,499 l,"H 168,4 x L 74,7 x D 76,9 cm"
SFFvh 5501 Perfection,Appareils professionnels/Laboratoire/Congélateurs de laboratoire/SFFvh 5501,None,€ 3.700,"Grâce à la technologie NoFrost, fini le dégivrage. L'écran couleur de 2,2 pouces (12 langues) peut également être utilisé avec des gants. Ce modèle est équipé d'une serrure électronique avec un code PIN à 4 chiffres qui peut être défini par équipe. Pour garantir une traçabilité totale, l'enregistreur de données intégré enregistre le profil de température, l'historique des alarmes et les informations de service pendant 5 ans. Une interface USB permet de lire les données stockées dans l'appareil. Ce modèle est certifié DIN 13277.",472 l,"H 179,3 x L 74,7 x D 76,9 cm"
EFE 1152,Appareils professionnels/Conservateurs de crème glacée/EFE 1152,None,€ 900,"Le modèle Liebherr EFE 1152 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 75,1 x D 46,1 cm"
EFE 1552,Appareils professionnels/Conservateurs de crème glacée/EFE 1552,None,€ 1.000,"Le modèle Liebherr EFE 1552 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. L'éclairage LED se charge de présenter vos produits comme il se doit. Offre toujours un accès rapide à l'aide des couvercles coulissants en verre trempé et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",None,"H 82,5 x L 62,5 x D 66,1 cm"
EFE 2200,Appareils professionnels/Conservateurs de crème glacée/EFE 2200,None,€ 1.000,"Le modèle Liebherr EFE 2200 est un conservateur à glace, avec une plage de température de -10 °C à -24 °C. Offre toujours un accès rapide à l'aide des couvercles coulissants en aluminium et facile à déplacer grâce aux 4 doubles roulettes pivotantes. Des paniers suspendus et un verrou sont disponibles en accessoire.",213 l,"H 84 x L 83,5 x D 66,1 cm"
